Time,User,Message
0.0,155b1551a280a48a8929e40f11c225a67cabec20,f for grave titan 
1.0,344758a4c52c767176f75e84a9952337c4d21e26,audio quality is weird 
46.0,cc1ff1efe0669c7ac7bcb1eda0fe26f373276f87,kreygasm 
52.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,thoughtseize on pierce seems good now :) 
64.0,c418a3195b7255fbfbb1e0f9775d57bf46e98bb2,yes 
65.0,e44683be33b573c4e6532aee95bcda85eba5a9dc,great play by mathieu here 
70.0,4c10e20a7aafdc66a310307e428dab0cca136147,quality mtg 
74.0,4f0bad33a5dfa8a4bba4e144803842ad1cabe2e6,ushaushuahusha 
82.0,86b0c43f6d30e8b2b76568485839ac3ec3b4bf96,flying super monster wins 
91.0,4f0bad33a5dfa8a4bba4e144803842ad1cabe2e6,kkkkkkk 
101.0,9812422982399c9e64ddd4af57ab4ad7b1ff2e62,masterfully navigated 
104.0,44c43f9ec6806ebf1b643a6ff5fdfe880e949a4e,go luis 
134.0,d7c3ca9141a28bef3b2b2b381bad3cb8464e3de3,he should have counterspelled the unmask so there was a chance to bluff some bouncespell with the 2 blue mana 
160.0,3e9c0e9b7dfccf2601ce9aa9b9fd866c2cad1376,how luis lost 
183.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,no white mana mathieu reanimated hexmage removed counters from depths 
184.0,155b1551a280a48a8929e40f11c225a67cabec20,marit lage 
189.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,marit lage happened 
200.0,c418a3195b7255fbfbb1e0f9775d57bf46e98bb2,because he can't find a basic plain 
201.0,e44683be33b573c4e6532aee95bcda85eba5a9dc,helm probably comes in here it's in for decks that play rip since it kills them if they cast the rip 
212.0,3e9c0e9b7dfccf2601ce9aa9b9fd866c2cad1376,sick was gone éminutes :( 
221.0,558bce75d2e8dcfac472979e36416347a5294b9b,nice luck for mathieu on draw 
240.0,4c10e20a7aafdc66a310307e428dab0cca136147,geeez what a pile 
249.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,e44683be33b573c4e6532aee95bcda85eba5a9dc one of the most interesting interactions in legacy imo its anti anti-tech 
278.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,honestly he has way too many creatures to revive 
283.0,4c10e20a7aafdc66a310307e428dab0cca136147,amazing list lel looks like someone simply looted their black card binder and sleeved them up xd 
283.0,fd4c85c4045c3ce274922195bc0d9e06d4b20776,he only needs grave titan 
422.0,96fd66f8ea7d55ba218054bfb1449dccef26d8b5,what cards are force of will 5-6 force of will is on checklist twice 
425.0,9f289e0ee99c9793d100e12a529aec539867fac2,i don't love astrolabe 
435.0,96fd66f8ea7d55ba218054bfb1449dccef26d8b5,wait are those spell pierces 
451.0,96fd66f8ea7d55ba218054bfb1449dccef26d8b5,egyptian versions are impossible to read 
552.0,42ebe84462388f93e485bfc95780c3db449d5afe,seen any jund 
616.0,d9e13bdbd5d155deebfd6819b55352bfda6dcfce,what the heck are those plays 
617.0,cc1ff1efe0669c7ac7bcb1eda0fe26f373276f87,lul 
618.0,68181b6e1e1e55f85f8a1852431d3561d15bb287,woah what a top deck lul 
690.0,9bcd53dff4f02ac04fbc6d9fc536601f8c189662,better read swords 
738.0,cc1ff1efe0669c7ac7bcb1eda0fe26f373276f87,pogchamp 
798.0,ed4965a5885e0323cba7930089b86d2a6a5e8cf6,almost all the colors 
804.0,ed4965a5885e0323cba7930089b86d2a6a5e8cf6,yeah not purple 
816.0,4d316b594586ffe02e8691ec1d4894b4cb5c9667,indeed 
821.0,4d316b594586ffe02e8691ec1d4894b4cb5c9667,or orange 
831.0,ed4965a5885e0323cba7930089b86d2a6a5e8cf6,majind 
