Time,User,Message
0.0,98af261c7fc8b312d1b60ecef9d7b09d9890bb17,caster stressmonster 
4.0,fdc38204edf8b31a16d16b6d19cac638530461c5,hello 
6.0,0b9c5deb4aebe610131fbaa096099597e7142b37,i love it 
7.0,4d4e0361cae0bd064ff4c5b49f20b901924b4224,652a915e67af261f50aaf0d866ffa059bf1802f2 hilarious:face_with_tears_of_joy: 
12.0,f8db6860e7cc9bd94010760d1c35c1343f4be997,action do it 
13.0,9e3fef096186855ccac839c941805d87b682248a,iskdab 
13.0,ab76892fa25a5315520ed4731ededfacc386148a,ice biome 
13.0,1eb0e93bc37a70648b2e8efed05724af7ae7d0b0,be a nomad travel the world; then create a base 
14.0,5cb75ceef9b905af44950e7875fc74b7e8f8c216,#diorite4life #dioriteislove #dioriteislife #dioritebeststone #dioritepretty #usediorite 
16.0,6bb3a99ba907ecddba7d610e6f35c2c0b6028d96,no lush 
16.0,cd83f638a435b681ad42940707b1b5ffaa7669be,worst amusement park ever 
17.0,dff0ba50a6336b56479d6723b0a2641fe554bbb9,goodbye evreyone i hope you have a great day at iskall's stream 
17.0,641eb4a4d7e0849d523e7163ce6e332820d3b296,stress will stream tomorrow iskheart iskhype iskheart 
18.0,8bacba79776309c95fa24cf11cc7443c8f4d66ad,he always hates shrub land 
21.0,637851c760385cc1822658b056f8552f6e5eb172,yessir 
22.0,0b9c5deb4aebe610131fbaa096099597e7142b37,it has nice atmosphere 
22.0,0aeda24d4dff83ea8a82af8a9c1d31dccaefd693,sand 
23.0,f4b49db817f5b6470a10963ec33d56e5376dc258,how dry i am 
24.0,894ba7e576251a590eb282f5f168b50f75545cb0,find a diorite mountain biome 
24.0,d42ec92fe52b39a1e2c8b96f1908498ed56cd632,saaaaaaaand 
25.0,8722e86caa16f81c531e02d821024cd4ae7a9360,the sack talking kills me everytime 
25.0,96af704c2fa5e61e500fbe8cf7af236c45966de0,2f5460ce412534822ff1478137e9033b47db03dc your other bits are in one of your crates 
25.0,650f59b6c5125d1c6e515e33605edf03858a16ea,go further north 
26.0,98af261c7fc8b312d1b60ecef9d7b09d9890bb17,hype 
27.0,8c185f80f77fc992807dd8f590386aa47d5df41e,i definitely prefer wetter biomes 
28.0,652a915e67af261f50aaf0d866ffa059bf1802f2,4d4e0361cae0bd064ff4c5b49f20b901924b4224 yeah i worked very hard on that joke thank 
35.0,cd200f21ff02058494c62a613071da41e04f15e1,you need to make a magnet to grab all the sub items can prob have them even make it auto store the items into a chest at your base make a special placeable chest that links with the magnet for just sub item collections help me get him to see this folks plz 
38.0,1eb0e93bc37a70648b2e8efed05724af7ae7d0b0,keep going 
39.0,b15e0faa69d062509cbff37c549cfdd1e3a42017,what did you vote in biome contest and what do you feel about mountains winning 
44.0,e7a9215792864d6573defbf548f2905eb0e5a29c,ssssaand and gravul is that a thing now 
46.0,60d105c58650918cf764b5a811347b28392b2e45,s 
46.0,5fa7b3535992a1f46bea0a2eed5610dc72dbcfa7,hello swedish man 
61.0,5cb75ceef9b905af44950e7875fc74b7e8f8c216,#diorite4life #dioriteislove #dioriteislife #dioritebeststone #dioritepretty #usediorite 
61.0,8376c4596761b96c77385cb9b9fbe931494c63bb,squid1 squid2 squid3 squid2 squid2 squid4 
66.0,98af261c7fc8b312d1b60ecef9d7b09d9890bb17,cd200f21ff02058494c62a613071da41e04f15e1 it's early game he;'ll get to it 
67.0,fc4560c6406077a1cf3a0195202e90b54d60e288,i am crazy for the ender forest biome the grass is amazing dark oak is the wood and the leaf colours are gorgeous it is also moutaineous 
68.0,447764e6ed034fc8f10ddf35c6cd516f71ef4be8,cd200f21ff02058494c62a613071da41e04f15e1 please stop the spam 
69.0,98af261c7fc8b312d1b60ecef9d7b09d9890bb17,hey hey 7009d6b90db0181017532a2306783578bd925b4f 
69.0,652a915e67af261f50aaf0d866ffa059bf1802f2,iskhype iskfine 
72.0,02eec63e819da23cda4ac3d1b36716c13d8310fc,could u put the list of trader spawn eggs on the discord server 
74.0,ec4376d58f0a1b5c4e170ce59d0551e266d2f3a5,do you do music on your streams iskall 
75.0,0b421a00d441af8497e91e48b1c62bbc0f0bd6e8,woooo work is done time for iskall 
77.0,61b18b52e59307162b2e76b89c0a1c1caba8f64a,7009d6b90db0181017532a2306783578bd925b4f captain how are you 
79.0,98af261c7fc8b312d1b60ecef9d7b09d9890bb17,hype 
